Picklowanie
Odpicklowanie
Organizmy w generacji 29:
Fitness: 0.2617016806722689 Params: [18, 17, 17, 30, 0, 10]
Fitness: 0.2659675229952591 Params: [11, 7, 26, 9, 5, 17]
Fitness: 0.27879767291532 Params: [30, 7, 7, 26, 4, 8]
Fitness: 0.28498379500683646 Params: [5, 11, 5, 21, 7, 10]
Fitness: 0.29170531849103276 Params: [22, 5, 23, 19, 5, 11]
Fitness: 0.305290758683182 Params: [27, 29, 22, 14, 3, 13]
Fitness: 0.31568302996874426 Params: [22, 16, 24, 6, 8, 1]
Fitness: 0.3302826907790143 Params: [23, 6, 7, 11, 2, 19]
Fitness: 0.33651061776061775 Params: [30, 13, 27, 6, 10, 1]
Fitness: 0.3570532728141424 Params: [24, 8, 28, 9, 8, 0]
Fitness: 0.35982015669515666 Params: [18, 9, 13, 25, 4, 12]
Fitness: 0 Params: [22, 13, 13, 18, 8, 14]
Fitness: 0 Params: [30, 13, 13, 18, 8, 14]
Fitness: 0 Params: [11, 7, 26, 26, 1, 7]
Fitness: 0 Params: [18, 17, 17, 30, 0, 5]
Fitness: 0 Params: [26, 7, 9, 13, 5, 10]
Fitness: 0 Params: [26, 18, 9, 13, 5, 10]
Fitness: 0 Params: [5, 11, 7, 21, 7, 19]
Fitness: 0 Params: [5, 11, 5, 26, 1, 7]
Fitness: 0 Params: [18, 30, 22, 6, 10, 14]
Fitness: 0 Params: [18, 17, 22, 6, 10, 10]
Fitness: 0 Params: [5, 11, 5, 30, 6, 10]
Fitness: 0 Params: [30, 13, 27, 6, 10, 1]
Fitness: 0 Params: [5, 11, 5, 30, 1, 10]
Fitness: 0 Params: [5, 11, 5, 9, 2, 19]
Fitness: 0 Params: [30, 7, 26, 26, 4, 7]
Fitness: 0 Params: [11, 7, 26, 26, 1, 7]
Fitness: 0 Params: [18, 9, 13, 21, 7, 10]
Fitness: 0 Params: [18, 9, 13, 25, 4, 12]
Fitness: 0 Params: [18, 13, 27, 6, 10, 10]
Fitness: 0 Params: [18, 13, 17, 30, 0, 1]
Fitness: 0 Params: [26, 9, 13, 13, 5, 10]
Fitness: 0 Params: [26, 9, 9, 25, 4, 12]
Fitness: 0 Params: [30, 7, 7, 26, 7, 10]
Fitness: 0 Params: [30, 11, 5, 26, 7, 8]
Fitness: 0 Params: [5, 11, 7, 21, 7, 19]
Fitness: 0 Params: [11, 11, 5, 26, 7, 7]
Fitness: 0 Params: [11, 7, 26, 26, 1, 10]
Fitness: 0 Params: [5, 7, 26, 26, 4, 7]
Fitness: 0 Params: [30, 11, 26, 30, 4, 10]
